Exp_ID: 6 States: 100 Actions: 20 S_states: 20 Start_P: 20 endP: 50 IncP: 10
VIH VIAEHLB BAO
122 187 191
145 222 239
179 269 298
230 347 393
117 181 186
161 247 265
166 249 276
151 227 262
114 177 182
150 230 247
180 271 300
224 338 385
118 183 187
128 196 213
168 254 281
176 264 303
109 167 172
144 220 237
152 229 254
261 394 446
107 165 169
155 237 255
211 319 350
204 306 349
117 180 184
135 207 224
150 225 251
193 289 330
115 177 186
139 213 229
150 226 254
212 318 363
112 173 178
148 227 245
168 252 281
212 318 363
106 163 167
149 229 247
171 258 286
180 271 309
