Exp_ID: 8 States: 100 Actions: 20 S_states: 20 Start_P: 20 endP: 50 IncP: 10
VIH VIAEHLB BAO
110 169 199
174 279 246
183 322 259
222 559 366
118 183 187
148 251 223
163 287 228
187 343 259
111 171 176
184 309 271
168 295 239
189 345 259
111 171 177
126 212 189
171 302 243
207 376 282
139 215 218
137 231 204
167 294 237
193 355 267
105 162 168
160 267 237
183 323 260
190 349 262
120 185 190
136 227 203
175 310 249
172 317 237
103 160 165
144 242 214
179 316 254
181 332 250
124 192 197
167 281 247
168 296 239
173 319 240
104 161 165
162 271 240
174 308 247
201 368 275
