Exp_ID: 3 States: 500 Actions: 100 S_states: 50 Start_P: 50 endP: 500 IncP: 50
VIH VIAEHLB BAO ANCVI
26 31 91 82
99 140 302 360
212 286 460 1203
335 452 608 2436
603 829 1016 3961
667 937 1062 5939
937 1336 1429 7733
1204 1708 1760 10297
2105 2785 2723 12578
2098 3118 2980 15043
29 38 107 88
76 108 226 355
167 229 361 1179
343 475 629 2511
690 961 1169 4114
827 1170 1324 5803
1079 1552 1665 8069
1279 1916 1944 10547
1899 2725 2670 13211
2034 3029 2852 16894
19 24 70 81
75 106 216 363
188 261 393 1242
360 486 651 2545
690 961 1176 4241
717 1032 1176 6065
1028 1477 1584 8248
1322 2008 2104 10439
1644 2298 2244 12651
1960 2955 2801 15852
24 30 89 82
80 109 227 355
179 249 394 1422
354 505 667 2611
624 853 1045 4372
872 1175 1344 5910
1101 1597 1739 7995
1328 1954 1949 10310
1617 2508 2479 12989
2059 3060 2946 15298
18 22 65 85
70 101 214 351
190 280 423 1170
402 545 740 2482
613 811 989 4192
629 933 1029 5761
1038 1545 1655 7862
1351 2013 2040 10090
1552 2330 2275 12883
1762 2737 2516 15610
16 20 58 83
75 109 225 369
218 298 458 1286
428 584 743 2402
657 957 1145 4037
776 1109 1262 5559
882 1291 1389 7542
1425 2117 2213 10777
2141 3139 3068 13413
2078 3036 2892 16434
23 28 83 81
68 97 197 382
258 349 534 1363
461 610 801 2805
611 814 969 4356
953 1321 1494 6217
1130 1578 1672 8336
1487 2167 2206 10778
1646 2421 2350 13406
2099 3052 2896 16215
24 30 88 86
59 85 172 395
250 338 521 1419
369 489 637 2649
550 768 921 4429
816 1131 1275 6044
1348 1909 2052 8161
1369 1991 2042 10374
1713 2550 2508 13328
2206 3244 3096 15935
26 31 93 80
93 130 259 380
236 326 500 1346
420 561 742 2722
723 982 1183 4352
780 1093 1227 6105
1193 1685 1763 8135
1155 1682 1712 10548
1718 2538 2495 13085
2152 3162 3011 15845
24 30 89 82
69 100 205 374
256 347 527 1344
355 475 626 2696
589 809 965 4322
936 1313 1488 6086
1246 1764 1895 8186
1288 1849 1887 10387
1778 2594 2525 12914
2249 3359 3226 16410
